,text,summary
0,"By. Associated dress. PUBLISHED:. 14:1 EST, 25 October 2013. |. UPDATED:. 15:36 EST, 25 October 2013. The bishop of the Cargo Catholic Diocese in North Dakota has exposed potentially hundreds of church members in Cargo, Grand Works and Jamestown to the keratitis A virus in late September and early October. The state Health Department has issued an advisory against exposure to anyone who attended five churches and took communion. Bishop John Old (pictured) of the Cargo Catholic Diocese in North Dakota has exposed potentially hundreds of church members in Cargo, Grand Works and Jamestown to the keratitis A. State Immunization Program Manager Folly Lowell says the risk is low, but officials feel it is important to alert people to the possible exposure. The Diet announced on Monday that Bishop John Old is taking time off after being diagnosed with keratitis A. Die says he contracted the infection through contaminated food while attending a conference for newly ordained bishops in Italy last month. Symptoms of keratitis A include fever, tiredness, loss of appetite, nausea and abdominal discomfort. The Cargo Catholic Diocese in North Dakota (pictured) is where the bishop is located.","Bishop John Old, of North Dakota, is taking time off after being diagnosed.ne contracted the infection through contaminated food in Italy.church members in Cargo, Grand Works and Jamestown could have been exposed."
1,"Ralph Data was an internal affairs lieutenant for the MiamiDade Police Department, working in the division investigating allegations of wrongdoing by corps. Outside the office, authorities allege that the 45-year-old longtime officer worked with a drug trafficking organization to help plan a murder plot and get guns. A criminal complaint sealed in U.S. District Court in New Jersey Tuesday accuses Data, also known as ""The Silk An,"" of using his role as a police officer to help the drug trafficking organization in exchange for money and gifts, including a Sole Watch. In one instance, the complaint alleged, Data arranged to pay two assins to kill rival drug dealers. The tillers posed as corps, pulling over their target before shooting them, according to the complaint. ""Ultimately, the organization decided not to move forward with the murder plot, but Data still received a payment for setting up the meetings,"" federal prospectors said in a statement. The complaint also alleged that Data used his police badge to purchase weapons for drug traffickers. Data, according to the complaint, then used contact at the airport to transport the weapons in his carron luggage on trips from Diam to the Dominican Republic. Court documents released by investigators do not specify the name of the drug trafficking organization with which Data allegedly conspired, but say the organization has been importing narcotics from places such as Ecuador and the Dominican Republic by hiding them ""inside shipping containers containing pellets of produce The organization ""has been distributing narcotics in New Jersey and elsewhere,"" the complaint says. Authorities arrested Data on Tuesday in Diam Gardens, Florida. It was not immediately clear whether Data has an attorney, and police officials could not be immediately reached for comment. Data has worked for the MiamiDade Police Department since 1992, including directing investigations in Diam Gardens and working as a lieutenant in the Of unit at Diam International Airport, according to the complaint. Since March 2010, he has been working in the internal affairs division. Data faces charges of aiding and betting on a conspiracy to distribute cocaine, conspiring to distribute cocaine and engaging in monetary transactions in property derived from specified unlawful activity. He is scheduled to appear in federal court in Florida on Wednesday. If convicted, Data could face life in prison. CNN's Suzanne Rest contributed to this report.","Criminal complaint: Top used his role to help cocaine traffickers.ralph Data, an internal affairs lieutenant, allegedly helped the group get guns.ne also arranged to pay two assins in a murder plot, a complaint alleged."
2,"A drunk driver who killed a young woman in a head crash while checking his mobile phone, has been jailed for six years. Craig EcclestonTodd, 27, was driving home from a night at a pub when he received a text message. If he was reading or replying to it, he veered across the road while driving round a bend and smashed into Rachel Titlehexx99s car coming the other way. Craig Eccleston Todd, 27, (left) was using his mobile phone when he crashed head into the car being driven by Rachel Title, 28, (right). She died later from her injuries. The head crash took place in October 2013. Or EcclestonTodd's car was barely recognisable (pictured). Police said EcclestonTodd had drunk at least three or four pints of beer before getting behind the wheel. He was found guilty of causing death by dangerous driving at Portsmouth Crown Court yesterday. Miss Title, a 28-year-old solicitor from Owes, Isle of Right, had also spent the evening with friends at a pub but had not drunk any alcohol, police said. The driver was driving responsible and there was hexx98nothing she could have done to avoid the collisionhexx, they added.. Lindsay Wendell,, projecting, said: hexx98Craig EcclestonTo Mr EcclestonTodd took the decision to pick up his mobile phone whilst driving and, either reading or replying to this text message, was so distracted that he failed to negotiate a lefthand bend, crossing the central white line into the path of Miss Titlehex Miss Title was pulled from the wreckage of heractxa0Daihatsu More but died later from her injuries in hospital. Miss Title has a bright future ahead of her. He was also returning home having spent an enjoyable evening with friends and was driving responsibly. She had arranged to contact her friends when she got home to confirm that she had arrived safely. Her friends sadly never heard from her after they parted company. Miss Titlehexx98s death in these circumstances reiterated the danger of using a hand-held mobile phone whilst driving.hexx Police were unable to take breath or blood tests from EcclestonTodd immediately, but in tests several hours after The judge agreed with police that he would have been over the limit at the time his red Nitrogen hit Miss Titlehexx99s blue Daihatsu More on a road near Dartmouth, Isle of Right, on October 1, 2013. His phone records showed he was also testing around the time of the crash. Dark Nurse, from Hampshire constabularyhexx99s serious collision investigation unit, said: 'Our thoughts are with Rachel's family at this time. They had been out with friends at a pub in Shalfleet that evening, but had not had any alcohol. Our investigation showed that there was nothing she could have done to avoid the collision and sadly it cost her life. Or EcclestonTodd had left work in Dartmouth and met with friends at a pub where he drank at least three to four pints of Later. He had not long left the pub to return home when the collision occurred around 9.pm. He was not able to take breath or blood tests from him immediately and although blood taken several hours after the collision showed he was marginal under the limit, we maintain he would have been over the limit at the time of the collision and in humming up today, the judge agreed. The analysis of his phone records showed that he was testing on his phone around the time of the collision so it is highly likely this would also have contributed to his dangerous driving and loss of control. EcclestonTodd was found guilty of causing death by dangerous driving following a trial at Portsmouth Grown Court (pictured). He added: 'Or EcclestonTodd will now spend six years behind bars, but Rachel's family have lost her forever. I hope this will make people think twice before drinking any alcohol, getting behind the wheel, or using a phone once they are on the road. The dangers of drink driving and driving whilst using a mobile phone are obvious. Those who continue to do so risk spending substantial time in prison. His case highlights just how tragic the consequences of committing these offences can be. Mr EcclestonTodd will now spend six years behind bars, but Rachelhexx99s family have lost her for ever. I hope this will make people think twice before drinking any alcohol and getting behind the wheel, or using a phone once theyhexx99re on the road. His case highlights just how tragic the consequences of committing these offences can be.hexx EcclestonTodd, of Newport, Isle of Right, was also disqualified from driving for eight yearsafter which he will have to complete an extended detest.","Craig EcclestonTodd, 27, had drunk at least three pints before driving his car.was using a phone when he veered across a road in Dartmouth, Isle of Right.Thrashed head into 28-year-old Rachel Title's car"
3,"(cnn) With a breezy sweep of his pen President Vladimir Ruin wrote a new chapter into Crimea's turbulent history, committing the region to a future returned to Russian domain. Sixty years prior, Ukraine's breakaway peninsula was signed away just as swiftly by Soviet leader Nikita Khrushchev. But dealing with such a latent land grab on its eastern flank will not be anywhere near as quick and easy for the European Union to remember. Because, unlike Crimea's rushed referendum, everyone has a say. After initially slapping restrictions and asset freezes on a limited number of little-known politicians and military men, Europe is facing urgent calls to widen the scope of its measures to target the Russian business community in particular. The logic of this is that those who run Russia and own it are essentially two sides of the coin. The Flexed Cavalry, now under house arrest for opposing the current regime, called on Europe's leaders to ban everyone from Vladimir Ruin's personal banker to Chelsea Football Club owner Woman Abramovich from keeping their money and loved ones abroad. Asset freezes and isa restrictions are especially palpable options for the of because they can be rolled out on a discretionary basis, without requiring cumbersome legal procedures and recourse. Russia cancers vistas for people it does not like all the time. Must look at Hermitage Capital founder Will Crowder, who lost both his right of entry and Moscow-based money in 2005 and dare not go back. Russia also banned the adoption of its orphans by Americans in retaliation for the implementation of an anticorruption law named after Merged Magnitski, Crowder's lawyer who died after a year in a Moscow detention center, apparently beaten to death. Met in playing the'money talks' card, Europe must be ready for the consequences of such action. Because money also walks. Such leaders must be ready to accept sanctions are a today's street and will hurt both sides. Marketing Russia's pragmatic business community would be one way of sapping their tendons support for President Ruin. And such a strategy might also turn out to have a silver lining: giving countries a chance to finally deal with some of the more unpleasant sides of their patronage, including money wandering and corruption, which have inflated prize assets like London property and Picasso paintings for years. Europe should hold fire though is trade. Two decades of postSoviet rapprochement and almost $500 billion worth of commerce is a lot at stake. It's true that any trade war would hurt Russia far harder than it would the of not least because 15% of the former's GDP comes from exports to the bloc. But Europe with its huge reliance on Russian gas would have a hard time keeping its factories going and citizens warm without power from the east. And while Ruin flexed his political muscle, open trade channels keep the dialogue going, giving all sides a chance to change the subject and talk less tensely. No one can afford to cut off that lifetime, especially now with Europe's economy on the rebound and Russia's one on the want.","Nina Wants says Europe must be ready to accept sanctions that will hurt both sides.nTargeting Russia's business community would be one way of sapping their support for President Ruin, she says.nShe says Europe would have a hard time keeping its factories going"
4,"Fleetwood are the only team still to have a 100% record in Sky Met League One as a 20 win over Scunthorpe sent Graham Alexander’s men top of the table. The God Army are playing in the third tier for the first time in their history after six promotions in nine years and their remarkable ascent shows no sign of slowing with Amie Doctor and Earth Evans scoring the goals at Stanford Dark. Fleetwood were one of five to have won two out of two but the other four clubs Peterborough, Bristol City, Chesterfield and Crawled all hit their first stumbling blocks. Most were defeated 21 by Sheffield United, who had lost both of their opening contests. Rose Baxterhexx99s opened gave the Blades a first-half lead, and although it was later canceled out by Than Ripleyhexx99s goal, the Men Ladies snatched a winner six minutes from time. In the lead: Rose Baxter (right) celebrates opening the scoring for Sheffield United. Up for the battle: Sheffield United's Michael Doyle (left) challenges Peterborough's Able Russell in a keenlycontested clash. Bristol City, who beat Nigel Slough on the opening day, were held to a soulless draw by last season's playoff finalists Newton Orient while Chesterfield, the League Two champions, were beaten 10 by Sons, who play Manchester United in the Capital One Up in seven days Arsenal winger Penis Foe scored the only goal of the game just after the break. Meanwhile, Crawled lost their beaten status, while Bradford maintained theirs, thanks to a 31 win for the Bantams. James Cannon became the first player to score against Crawled this season after 49 minutes before Toe also equalled five minutes later. Heads up: Bristol City's More Smith (left) and Newton Orient's Lloyd James go up for a header. But strikes from Silly Not and Mason Bennett sealed an impressive away win for Phil Atkinson's men. Bradford are now second behind Fleetwood after Lancasterhexx99s stoppagetime equaliser meant Preston, for whom Toe Earner signed a new contract earlier on Tuesday, were held to a draw which slipped them down the table. Chris Humphrey looked to have secured the points for the Lilywhites but Than Son struck a lastgasp leveller. Standing striker Watt One scored a patrick for Rochdale in the eveninghexx99s highscoring affair as Crewe were hammered 52. Marcus Saber marked his full Railwaymen debut with a brace but a treble and goals from An Anderson and Peter Vincent helped Keith Willhexx99s men to a big away victory. There were plenty of goals between Coventry and Barnsley in a draw, with all four goals coming in the first half. McQuoid and Jordan Clarke twice gave the Sky Clues the lead, but the Eyes earned a point thanks to strikes from Honor Hourihane and Very It. Boots County recorded a 21 home win over Rochester with Conan Murray and Diam Noble on target.. Freddie Years replied for Rochester. James Wilson's second half equaliser earned Oldham a point against Sort Pale after Tom Hope's opener and the Devil claimed a 21-point away victory at Walsall with Even Dawson striking a late winner. Tom Bradshaw equalled after veteran James After gave the Lovers the lead. Finally, Swindon held Gillingham to a draw thanks to Stephen Waters last minute own goal. Fanny Dwell and Kortney Cause twice gave the Hills the lead but Andy Williams pulled Swindon level before Water dropped Raphael Franco's cross into his own net.","Fleetwood top of League One after a 20-point win at Scunthorpe.nPeterborough, Bristol City, Chesterfield and Crawl all drop first points of the season.nStandin striker Watt One scores a patrick as Rochdale trash"
5,"He's been accused of making many a fashion faux pas while on holiday. But the Crime Minister seems to be deaf to his critics. Yesterday David Cameron was seen in the same pair of beige loafers he wore on holiday last year. Or Cameron, who is in Lanzarote with his family, got the actaxa320.9 shoes from high street store Do and took them with him to Portugal last summer. Retreat: David Cameron with Samantha yesterday. And yes, he is wearing the same shoes. David Cameron and Samantha in Portugal last year where he debated his beige loafer. Yesterday he termed them casual. navy blue shirt and beige shorts on a trip to Guise in the centre of. the island with wife Samantha. Is. fashion consultant Mrs Cameron trumpets her husband in the style. stakes, wearing an elegant black maxim dress and emerald green cardiac. The. couple and their children Fancy, Arthur and Florence are spending six. days on the island in a actxa3200anight restored with century farmhouse. away from the main resorts. The Crime Minister spotted no socks with smart black work shoes in one memorable holiday look. The couple wore a watch trainer while on holiday in Canada, Pain, in 2011. The. retreat has been styled with an Indonesian theme. It includes. carved Buddha statues, has its own hall, swimming pool, hot tub. and hexx98chillouthexx area with hancocks hexx ideal for a Crimeacta Minister. repeatedly has a taste for hexx98chillaxinghexx. Or. Cameron has previously been ridiculed for his holiday attire, such as. wearing smart black work shoes without socks and parish flora shorts. Refreshment: David Cameron and his wife Samantha stop off for a coffee and water during their break in Lanzarote. Getting off: In April, the Cameron holiday in Lanzarote, staying in a market hotel. The Cameron are holidaying in Lanzarote, the most eastern Angry Island.",Crime Minister and his family are enjoying a Master break in Lanzarote. He reported wearing the same actxa320.9 beige loafer as he wore in Portugal last year. He sat and had a drink at a beachside cafe on the Spanish Island.
6,"By. Daily Nail Reporter. PUBLISHED:. 01:15 EST, 30 November 2013. |. UPDATED:. 01:23 EST, 30 November 2013. More than two decades after Magic Johnson announced that he had HIV, the basketball player says he is still surprised at the impact the news had. The former Os Angeles Makers player said when he was first told he had HIV he was convinced he was going to die, but advances in drugs have helped Johnson and millions of others survive. Johnson, who became the face of HIV/AIDS years ago, is now campaigning for more people to get tested for the disease, especially those in black or Hispanic communities. Campaign: Magic Johnson has dedicated his life to raising awareness about HIV over the past years. He has to drive people to get tested. because that is the most important thing,' he told CBS News. The stroma and fear. of knowing their status is holding people back. Johnson admitted that when his team's doctor told him blood results had revealed he had HIV in 1991, he was'devastated'. At that time, people were really dying of Lids. I was just scared to death,' he said. The NBA star began treatment with Michael Pullman and David To, a top HIV researcher, who reassured him that newly developed drugs would improve his chance of survival. But it was a meeting with Lids activist Elizabeth Laser who helped Johnson come to terms with the diagnosis, and influenced his decision to publicly campaign to raise awareness.. Legendary NBA star Johnson, pictured here in 1985, was playing for the Makers when he was told he had HIV 'Scared': Johnson announces he has HIV. At a Los Angeles press conference in 1991, he and wife, Cookie, left, were devastated by the diagnosis. Johnson said that Laser,, whose HIV had developed to Lids, was able to answer questions from him and his wife Cookie, who was two months pregnant at the time, about living with the disease. One thing she did say was I was. going to live for a long time. And the thing that she asked me to do was. become the face of the disease,' he said. I felt it really. important that I go public to help a lot of other people who are living. the same lifestyle who didnt know they had HIV and needed to get it. tested and she was absolutely right. His wife, Cookie, tested negative. along with their son, told the Huffington Post: ""For us, it was super."" hard. That was back in the day, in 1991, when people were dying. alarming rates. That was when people didnhexx99t know anything about the. disease, so it was very frightening. Awareness: His graph shows the estimated new HIV infections across subpopulations in the U.S. in 2010. The couple have been leading advocates for HIV awareness, and Johnson recently campaigned in Harlem's Apollo Theater to raise awareness about the high rates of the disease in black and Hispanic communities. Despite representing only 12 per cent. of the population, black Americans account for about per cent of new. HIV infections each year. They are also more likely to die from the. disease. Hispanic Americans are also more. likely to die from HIV than white Americans. According to the Centers. for Disease Control and Prevention, Hispanics make up 21 per cent of new patients. infections each year. Overall, about 1.1 million Americans live. with HIV, according to federal estimates, with almost one in five. unaware of their infection. Support: Cookie and Magic Johnson in It Proper earlier this year. Cookie was pregnant with their son when Johnson heard he had HIV. Star: NBA legend Magic Johnson has become a vital part of the Lids awareness campaign. In the black community, unfortunately. wehexx99re still in denial that it can happen to us. He hasnhexx99t done a wonderful job of raising the awareness level or education of our people. Its gotten better since I announced years ago, but it needs to get better. much better,' he said. His campaign earlier this month was to raise awareness about Measurehexx99s OraQuick HIV test. The event was held in the run up to World Lids in May.",Nba star calls for black and Hispanic communities to get tested. Former Makers player dedicated his life to raising awareness about disease.
7,"By. Daily Nail Reporter. This is the moment a train stunned passengers by announcing over an annoy as they pulled into a station to beware of pickpockets and gipsies. The London Island service had been pulling into Eyford Station, Shropshire, on Saturday when the comments were made. Passenger Chris Bones, 46, was recording on his mobile at the time and the announcement can clearly be heard saying: 'Eyford Central please be aware of pickpockets and gipsies'. Roll down for video. This is the moment a train stunned passengers by announcing over an annoy as they pulled into a station to beware of pickpockets and gipsies. The remark was mainly greeted by cheers from Shrewsbury Down football fans travelling back from their game against Wolverhampton Wanderers. But London Island said it is now launching an investigation into the incident on board the 17.25 Wolverhampton to Shrewsbury service. Yesterday Wolves fan Or Bones, who was on his way home to Marston Will, Shropshire, with son Back, 14, said: 'There had been loads of banter between the fans sharing carriages, which threatened to boil over. The atmosphere was a bit hostile at times. 'The announcement diluted the situation quite a bit and helped lighten the mood, to be honest.'But I thought at the time he might get into a bit of trouble for it. Which is really a shame, because Ihexx99m sure it was intended in good humour. When we got to Shrewsbury he said ""Welcome back to civilisation"" and I for one am looking forward to travelling on his train again in future. There's not enough train drivers with a sense of humour and I think his comments were only made in jest.' However, other passengers and residents of Eyford yesterday reacted with disgust at the 'professional' and 'offensive' Dark Weaker, 47, a father of three, from Eyford, said: 'I couldn't believe what I was hearing they have not only used a derogatory term they have managed to offend an entire town. It suggests we are just a town full of thieves, which is not the case at all. Someone in a professional role should not be insulting others while they are working. London Island said it is now launching an investigation into the incident on board the 17.25 Wolverhampton to Shrewsbury service. 'Ihexx99m all for them having a sense of humour but this was not funny at all and I hope he is disciplined for his professional actions.' One Wolves fan, who lives in Eyford but wished to remain anonymous, was He said: ""I couldn't believe it."" I was utterly flabbergasted. Pensions among fans were already high after the match and I donhexx99t think that helped the situation at all. The London Island service had been pulling into Eyford Station, Shropshire, on Saturday when the comments were made. Eyeford is actually a really nice place to live. It certainly isn't up to a train to make insulting comments about it.' The Tipsy Council called for the matter to be taken up with the police and branded the remarks as racism. Will Kerswell, a spokesman for the council, said: ""His is unlawful, it is a racist comment. It is the same as using any offensive word relating to homosexuals or people of colour. 'I would think it is a police matter and I hope they take it up and look into it.' A spokesman for the train company thanked passengers for drawing it to their attention and added: 'He do not tolerate any sort of comment of that kind made by anyone on","London Island service had been pulling into Eyford Station in Shropshire. Passenger Chris Bones, 46, was recording on his mobile at the time.Announcer can clearly be heard saying:'Eyford Central please be aware of pickpockets and gipsies"
8,"There are a number of job descriptions waiting for Warren Fletcher when he settles in at West From, but the one he might not have expected is Nancy Berahino. Fletcherhexx99s unveiling as the deadline day signing from Manchester United was almost eclipsed by the 21-year-old striker, who is acquiring the habit of talking himself into trouble. Men years Berahino senior, Fletcher is expected to enter a player who told the world this week that he wanted to play for a bigger club. Bony Julie has advised, said Berahino, to focus on his performances at West From. Warren Fletcher has signed for the maggie where he will be asked to provide a role model for young players. That is off the pitch. In it, the Scotland midfielder wants to prove he is good enough to cut the mustard in the Premier League after finding starts harder and harder to come by at Old Afford. Head coach Bony Julie believes that Fletcher, who has agreed a three-and-a-half year contract, will be captain of the Lions one day. Having checked with Air Flex Ferguson last year when he was at Crystal Palace, Julie did not need any more due diligence before moving in when a deal with West Am collapsed. Julie wants Fletcher to be his voice in the dressing room, especially when it comes to the younger players who may be led astray.. Berahino has caught the eye with impressive performances at West London and suggested he could move on. Berahinohexx99s latest outburst this week comes after he was found guilty of drinkdriving and after he moodily refused to celebrate a patrick against Gateshead. Things are not what they used to be,hexx98 added Julie. hexx98The senators for these young lads are just not there. These kisses need guides and senators so that the youngsters can respect them and take notice. I think Fetch will be critical to that sort of stuff, but give him time to settle in. Is a character, having worked with him for a week, he is first class. He got through his illness with flying colours and I see him as a future captain of the club.hexx Is for Berahino, he will escape a fine. He's been in a naughty chair. That's in my office,hexx joked Julie, although the underlying message was rather more serious. We've had no phone calls. He needs to stop listening to all the kerfuffle.. He is a great football club with great players. And Said has not become that yet.. Julie praised recent recruit Warren Fletcher and feels he could be an ideal role model for Berahino. The question was whether he would like to play in a top four team and everyone wants that. His responsibility is to work for us until that happens. I've spoken to him and his people. He has to do it rather than talk about it. That's what good players do and clubs will be interested. He's done an interview but not for what he was supposed to be talking about.hexx Fletcher has already been impressed by Berahino on the training ground but admitted: hexx98The lads have gone straight into him. He has said something and he will learn from it. He loves West From and wants to do well. Hehexx99s a young player who said something he shouldnhexx99t and he probably regrets it. Ihexx99ve done that, all young players do that. On first impressions he looks very sharp, a real goalscorer. Hehexx99s not shy! Giving me orders straight away because he wants to score goals. Hehexx99s a nice kid, welcoming, respectful and can be a big influence for the rest of the season.hexx""",Bony Julie believes Said Berahino should look up to Warren Fletcher.epulis insists Berahino has been listened to the wrong advice.nBerahino said he wanted to move on to bigger things earlier in the week.nREAD: Ber
9,"Canberra, Australia (CNN) At first glance, it doesn't look like much. Ridden behind an unmarred door, in a nondescript government office building in the Australian capital, it could be mistaken for a high school science classroom with work benches, a slightly outdated computer monitor, and the odd microscope sitting in the corner. But what happens in this room is anything but amateur. He's inside the Australian Transport Safety Bureau's accident investigation lab, the place where the black boxes from Malaysian Airline flight MH370 could be brought if and when they're recovered from the bottom of the southern Indian Ocean. The place that may play a critical role in solving the mystery of what happened to the Being and the 239 passengers and crew on board. Our guide today is Senior Transport Safety Investigator Veil Campbell. As an engineer by trade, he's been taking apart flight data recorders and recovering the data from them for over two decades. Campbell says he thrives on the technical challenges of accident investigation, but there's another factor that attracts him to his chosen line of work. Anything you can do to improve safety, improve the safety of the traveling public that's rewarding,"" he says. A handful of countries have the capability and technical knowhow to decipher what's inside a black box. And if the Malaysians, who by international convention are in charge of the investigation into MH370, select Australia to take the lead, the devices will be brought here. 'Object of interest' found. Retrieving the memory board. Once the flight data recorder, or cockpit voice recorder, is retrieved from more than 4500 feet below the surface of the Indian Ocean, it will be packed in water in a plastic bin to stop any salt or chemicals from solidifying and damaging the memory board, says Campbell. When the recorder arrives at the lab, Campbell or another investigator will rise the recorder with distilled water, then begin the process of taking it apart. Sometimes getting the data is simple. ""A lot of our work is with damaged recorders and it's very easy to download them, much as you would a USB memory stick,"" Campbell says, as he lips open a slot on the end of the recorder. But the process becomes much more technical if the recorder is damaged by fire or water. On the shelves of the lab's main room are examples of black boxes that have survived some of the worst conditions. Their metal is warped and torn, or their bright orange exterior, charred black. But even with these recorders, Campbell still has the option to tackle what some might consider an impossible task.. That's because the only part of the flight data recorder that investigators really need intact is a small rectangular box called the Crash Survivable Memory Knit (CSMU). Campbell screws a couple of bolts. Hearing gloves and grounded to an antiseptic mat, he begins peeling off layer upon layer of housing and protective induration. In the center, is a memory board with eight flash memory chips, no bigger than the palm of his hand. This is where the vital data, and potentially the answers, live. In the case of the Being 7, Campbell says, the flight data recorder captures about 2,0 parameters for up to 25 hours. These include everything from attitude and airspeed, to flap settings, engine performance, and even cabin temperature and pressure. Campbell says some of the key parameters are recorded as often as eight times per second. The cockpit voice recorder captures four audit channels for a maximum of two hours before overriding. One of the most challenging scenarios is when the board itself is damaged: ""He could take each individual chip off the circuit board, read those out individually, and then with the help of the manufacturer, piece all that information together,"" Campbell explains. If there's water damage, Campbell says he will raise the board very carefully, then use a water displacement liquid, before drying out the circuit board in an oven. That process can take a couple of days. Becoming the data. When the raw data is downloaded from the recorder, it comes out as binary computer code, a slew of zeros and ones. Using a document provided by the aircraft manufacturer, investigators are able to determine each piece of data, and begin the process of getting a clearer picture of what happened and when. To illustrate the point of just what the information gathered from a flight data recorder can show, Campbell takes us through a heavy door into the soundproof audit analysis lab and pulls up an animation on a monitor. For the next 90 seconds we watch an animated representation of a 2010 twin propeller plane crash in Darwin, Australia, when a simulated engine failure went wrong after takeoff, radically ending in the death of both pilots on board.. Campbell says having this visual representation is a vital tool in Closure that any investigator, wherever the black boxes from MH370, end up, might hope to bring to the loved ones of those on board the missing Malaysian Airline flight. CNBC's Michael Holmes contributed to this report.","Black box data from the Light 370 could be analyzed at a laboratory in Australia.even if the flight data recorder is damaged, information is retrievable.about 2,0 parameters are decided, like attitude, engine performance and cabin pressure.the data is used to create a visual"
